'unter den linden'	'ウンテル・デン・リンデン'
'san pietro'	'サンピエトロ'
'da vinci'	'ダ・ヴィンチ'
'sanmartin'	'サンマルチン'
'dalai lama'	'ダライ・ラマ'
'ability'	'アビリチー'
'absolutism'	'アプソリュチズム'
'abyssinia'	'アビシニア'
'acacia'	'アカシヤ'
'academia'	'アカデミア'
'academic'	'アカデミック'
'academy'	'アカデミー'
'accent'	'アクセント,アクサン'
'acetylene'	'アセチリン'
'achilles'	'アキレス'
'actor'	'アクター'
'adams'	'アダムス'
'aden'	'アデン'
'admiral'	'アドミラル'
'aesop'	'イソップ'
'aesthetic'	'エステ'
'afghan'	'アフガン'
'afghanistan'	'アフガニスタン'
'agrippa'	'アグリッパ'
'aine'	'エネ'
'aino'	'アイノ'
'ainu'	'アイヌ,アイノ'
'aiskhylos'	'イスキラス'
'alai'	'アライ'
'alambique'	'ランビキ'
'alaska'	'アラスカ'
'albrecht'	'アルブレヒト'
'album'	'アルバム'
'alcala'	'アルカラ'
'alcock'	'オルコック'
'alcott'	'オルコット'
'alessandro'	'アレサンドロ'
'alexandria'	'アレキサンドリア,アレキサンドリヤ'
'alfred'	'アルフレツド,アルフレッド'
'alhambra'	'アルハンブラ'
'alkali'	'アルカリー,アルカリ'
'alkaloid'	'アルカロイド'
'all right'	'オーライ'
'alpen'	'アルペン'
'alphabet'	'アルファベット'
'alps'	'アルプス'
'alsace'	'アルサス'
'alte'	'アルト'
'amazon'	'アマゾン'
'ambitious'	'アンビシャス'
'amdo'	'アムド'
'amen'	'アーメン'
'ammonia'	'アンモニア'
'amobe'	'アメーバ'
'amor'	'アモール'
'ampere'	'アンペア'
'amplifier'	'アンプ'
'amsterdam'	'アムステルダム'
'ana'	'アナ'
'anarchist'	'アナーキスト'
'andaman'	'アンダマン'
'andersen'	'アンデルゼン,アンデルセン'
'anderson'	'アンダーソン'
'andes'	'アンデス'
'andrew'	'アンドリュー'
'andromeda'	'アンドロメダ'
'anemone'	'アネモネ'
'aneroid'	'アネロイド'
'anglo'	'アングロ'
'anglo-saxon'	'アングロサクソン'
'ani'	'アニ'
'animism'	'アミニズム'
'anne'	'アン,アンヌ'
'antenna'	'アンテナ'
'anti'	'アンチ'
'antigone'	'アンチゴーネ'
'antimon'	'アンチモニー'
'antipyrine'	'アンチピリン'
'antwerp'	'アントワープ'
'apple'	'アップル'
'apron'	'エプロン'
'aq-su'	'アクス'
'arab'	'アラブ'
'arabian'	'アラビアン'
'ararat'	'アララ'
'arbos'	'アルボース,アルボオス'
'arbuda'	'アバタ'
'arc'	'アーク'
'arch'	'アーチ'
'arden'	'アーデン'
'argentina'	'アルゼンチン'
'aristotle'	'アリストートル,アリストート'
'arkhimedes'	'アーキミジス'
'armenia'	'アルメニア'
'armor'	'アーマー'
'armstrong'	'アームストロング'
'arnold'	'アーノルド'
'arrangement'	'アレンジメント'
'arrow'	'アロー'
'arthur'	'アーサー'
'artificial'	'アーティフィシャル'
'artist'	'アーチスト'
'arya'	'アリアン,アーリヤ'
'assam'	'アッサム'
'assembly'	'アッセンブリー'
'assyria'	'アッシリア,アッシリヤ,アツシリヤ'
'ataraxia'	'アタラクシア'
'atelier'	'アトリエ'
'atmosphere'	'アトモスフェア'
'atom'	'アトム'
'atonie'	'アトニー'
'attila'	'アッティラ'
'auckland'	'オークランド'
'augusto'	'アウグスト'
'augustus'	'アウグスツス'
'aurora'	'オーロラ'
'austen'	'オースチン'
'australia'	'オーストラリア,アウストラリヤ,オーストラリヤ'
'auto'	'オート'
'avalanche'	'アバランチ'
'avant'	'アヴァン'
'babel'	'ベベル,バベル'
'babylon'	'バビロン'
'bachelor'	'バチエラー,バチェラー'
'back'	'バツク'
'bacon'	'ベーコン'
'bacteria'	'バクテリア,バクテリヤ'
'bag'	'バツグ'
'bagdad'	'バグダッド'
'bahn'	'バーン'
'bain'	'ベイン'
'baker'	'ベーカー'
'balcony'	'バルコン,バルコニー'
'bald'	'ボールド'
'balfour'	'バルフォア'
'balkan'	'バルカン'
'baltic'	'バルチック,バルチツク'
'balz'	'ベルツ'
'banana'	'バナナ'
'bang'	'バン'
'banyan'	'バンヤン'
'baptisma'	'バプテスマ'
'bar'	'バー'
'bark'	'バーク'
'barling'	'バーリング'
'barn'	'バーン'
'barometer'	'バロメートル'
'baron'	'バロン'
'barret'	'バレツト'
'barth'	'バース'
'baseball'	'ベースボール'
'basel'	'バーゼル'
'bass'	'ベース'
'bass'	'バツソ,バス'
'bastiat'	'バスチヤ'
'bat'	'バツト,バット'
'batiste'	'バチスト'
'batter'	'バッター'
'bayern'	'バイエルン'
'bazillus'	'バチルス'
'beale'	'ビール'
'beautiful'	'ビユーチフル'
'beck'	'ベック'
'beecher'	'ビーチャー'
'beethoven'	'ベートーベン'
'bell'	'ベル'
'belly'	'ベリー'
'belmont'	'ベルモント'
'belt'	'ベルト'
'benares'	'ベナレス'
'bench'	'ベンチ'
'bengal'	'ベンガル,ベンゴール'
'bengala'	'ベンガラ'
'benjamin'	'ベンジャミン'
'benn'	'ベン'
'bent'	'ベント'
'bentham'	'ベンサム,ベンダム'
'berber'	'ベルベル'
'bergen'	'ベルゲン'
'bergson'	'ベルグソン'
'berkeley'	'バークレー'
'berkshire'	'バークシャー'
'bern'	'ベルン'
'best'	'ベスト'
'betta'	'ベタ'
'beuve'	'ブーヴ'
'bhutan'	'ブータン'
'bible'	'バイブル'
'bichon'	'ビション'
'big'	'ビッグ'
'bird'	'バード'
'birmingham'	'バーミンガム'
'biscay'	'ビスケー'
'biscuit'	'ビスケツト,ビスケット'
'bjorn'	'ビョルン'
'blanket'	'ゲツト,ケット'
'blond'	'ブロンド'
'blood'	'ブラッド'
'blotch'	'ブロッチ'
'blucher'	'ブリユツヘル'
'bluff'	'ブラフ'
'boa'	'ボア'
'board'	'ボード,ボールド'
'boat'	'ボート'
'bock'	'ボック'
'böcklin'	'ベクリン'
'boer'	'ボーア'
'bohemia'	'ボヘミア'
'bohmen'	'ベーメン'
'bolivia'	'ボリビア'
'bombay'	'ボンベイ'
'bonaparte'	'ボナパルト'
'bonbon'	'ボンボン'
'bonn'	'ボン'
'boom'	'ブーム'
'bordeaux'	'ボルドウ,ボルドー'
'borgmann'	'ボルクマン'
'borneo'	'ボルネオ'
'bosporus'	'ボスポラス'
'boss'	'ボス'
'boston'	'ボストン'
'both'	'ボース'
'bouquet'	'ブーケ'
'bourbon'	'ブルボン'
'box'	'ボックス'
'bra'	'ブラ'
'bradford'	'ブラッドフォード'
'brahmaputra'	'ブラマプトラ'
'brake'	'ブレーキ'
'braking'	'ブレイキング'
'brandenburg'	'ブランデンブルゲル'
'brandpunt'	'ピント'
'brandt'	'ブラント'
'brandy'	'ブランディ,ブランデー,ブランデイ'
'bravo'	'ブラボー,ブラヴォー'
'brazil'	'ブラジル'
'bright'	'ブライト'
'brin'	'ブリン'
'brindisi'	'ブリンヂイシイ'
'briton'	'ブリトン'
'britten'	'ブリテン'
'bronze'	'ブロンズ'
'brown'	'ブラウン'
'browning'	'ブラウニング'
'brunn'	'ブルノ'
'buck'	'バック'
'bucket'	'バケツ'
'budapest'	'ブタペスト'
'buerger'	'バージャー'
'buff'	'バフ'
'buffer'	'バッファ'
'buffon'	'ブッフォン'
'bukarest'	'ブカレスト'
'bulldog'	'ブルドッグ'
'bulwark'	'ブルワーク'
'bungalow'	'バンガロー'
'buns'	'バンズ'
'buoy'	'ブイ'
'burbank'	'バーバンク'
'bureau'	'ビューロー'
'burg'	'ブルク'
'burma'	'ビルマ'
'burns'	'バーンス'
'burr'	'バリ'
'business'	'ビジネス'
'bust'	'バスト'
'butter'	'バタ,バター'
'byrd'	'バード'
'byron'	'バイロン'
'byzantine'	'ビザンチン'
'cab'	'キャブ'
'cabbage'	'キヤベツ,キャベツ'
'cabin'	'キャビン'
'cachon'	'カション'
'cairo'	'カイロ'
'cake'	'ケーク'
'calcao'	'カルサン'
'calcutta'	'カルカツタ,カルカッタ'
'calici'	'カリシ'
'calico'	'キヤラコ,キャリコ,キャラコ'
'california'	'カリフォルニヤ,カリフォルニア,カリホルニヤ,カルフォルニア'
'caliph'	'カリフ'
'calla'	'カラー'
'calvin'	'カルバン'
'cam'	'カム'
'cambridge'	'ケンブリッジ,ケンブリジ,ケムブリッヂ'
'camellia'	'カメリヤ'
'camera'	'カメラ'
'campan'	'カムペン'
'canal'	'カナル'
'canard'	'カナール'
'canaria'	'カナリヤ,カナリア'
'cancan'	'カンカン'
'cannon'	'カノン'
'canterbury'	'カンタベリー'
'canvas'	'カンバス,カンヴァス'
'cape'	'ケープ'
'caramelo'	'カルメル'
'carat'	'カラット'
'carbonate'	'カルボナァート'
'card'	'カード'
'carlyle'	'カアライル,カーライル,カライル'
'carnet'	'カルネ'
'carol'	'カロル'
'carpenter'	'カーペンター'
'carr'	'カー'
'carroll'	'キャロル'
'carter'	'カーター'
'carthago'	'カルタゴ'
'casa'	'カサ'
'case'	'ケース'
'cashmere'	'カシミヤ'
'casino'	'カジノ'
'castanet'	'カスタネット,カスタネツト'
'caste'	'カースト'
'castella'	'カステラ'
'castor'	'カストル'
'catalog'	'カタログ'
'catapult'	'カタパルト'
'cater'	'ケーター'
'catilina'	'カテリーナ'
'cato'	'カトー'
'caucasus'	'コーカサス'
'cause'	'コーズ'
'cavour'	'カブール'
'cedric'	'セドリック'
'cello'	'セロ'
'celluloid'	'セルロイド'
'celt'	'ケルト'
'celtic'	'セルチック'
'cement'	'セメント'
'cesar'	'セサル'
'cesium'	'ケイシオム'
'chain'	'チエーン,チェン,チエイン'
'chair'	'チェア'
'chalk'	'チヨーク,チョーク'
'chamber'	'チャンバ'
'champagne'	'シャンペン,シャンパン,シヤンパン'
'champion'	'チャンピオン'
'champs-elysees'	'シャンゼリゼー'
'chandelier'	'シャンデリヤ'
'chandler'	'チャンドラ'
'chapeau'	'シャッポ'
'chapel'	'チャペル'
'char'	'シャール'
'charamela'	'チャルメラ'
'charles'	'シャルル,チャールズ,チャールス'
'charm'	'チャーム,チヤーム'
'chastity'	'チヤスチチイ'
'cheap'	'チープ'
'check'	'チェック'
'cheer'	'チア'
'cheese'	'チーズ'
'chert'	'チャート'
'chez'	'シェ'
'chicago'	'シカゴ'
'chief'	'チーフ'
'chile'	'チリ'
'chloroform'	'クロロホルム,コロロホルム'
'chocolate'	'チョコレート,チョコ,チヨコレート'
'choir'	'クワイア'
'chop'	'チャップ'
'chou'	'チュー'
'christian'	'クリスチャン,クリスチァン,クリスチヤン'
'christmas'	'クリスマス'
'chrome'	'クローム'
'chunk'	'チャンク'
'churchill'	'チャーチル,チヤーチル'
'cicli'	'チクリ'
'cider'	'サイダ,サイダー,サイダア'
'cigar'	'シガー'
'cigarette'	'シガレット,シガレツト'
'cinema'	'シネマ'
'cinematographe'	'シネマトグラフ'
'circe'	'キルケ'
'circle'	'サークル'
'citron'	'シトロン'
'civil'	'シビル'
'claimer'	'クレーマー'
'clan'	'クラン'
'clapham'	'クラパム'
'clara'	'クララ'
'clarinet'	'クラリネッ卜,クラリオネット'
'clark'	'クラーク'
'clary'	'クラリ'
'class'	'クラス,カラッス'
'classic'	'クラシツク,クラッシック'
'classicism'	'クラシシズム'
'clean'	'クリン'
'clear'	'クリア'
'cleveland'	'クリーブランド,クリーヴランド'
'clos'	'クロー,クロ'
'clover'	'クローバ'
'coal'	'コル'
'coat'	'コート,コオト,コーツ'
'cobalt'	'コバルト'
'cobden'	'コブデン'
'cobra'	'コブラ'
'cocoa'	'ココア'
'coerver'	'クーバー'
'cognac'	'コニャック'
'coil'	'コイル'
'coliseum'	'コロッセウム'
'colombia'	'コロンビヤ'
'colombo'	'コロンボ'
'colony'	'コロニー'
'colorado'	'コロラド'
'columbus'	'コロンブス,コロンバス'
'column'	'カラム'
'com'	'コム'
'coma'	'コマ'
'comedy'	'コメディー'
'comma'	'カンマ,コンマ'
'commander'	'コンマンダー'
'common'	'コムモン,コンモン'
'communist'	'コムニスト'
'companion'	'コンパニオン'
'compensation'	'コンペンセイシヨン'
'composition'	'コンポジション'
'conan'	'コナン'
'concorde'	'コンコルド'
'concrete'	'コンクリート'
'condor'	'コンドル'
'conference'	'コンファレンス,コンフェレンス'
'confidence'	'コンフィデンス'
'conformation'	'コンフォメーション'
'congo'	'コンゴー,コンゴ'
'congregationalist'	'コンクレゲーショナリスツ'
'conservatism'	'コンセルワチズム'
'consistent'	'コンシステント'
'contrast'	'コントラスト'
'cook'	'クツク,クック'
'cooper'	'クーパー'
'copenhagen'	'コペンハーゲン'
'copernicus'	'コペルニクス'
'cord'	'コード'
'cordova'	'コルドヴァ'
'corned beef'	'コーンビーフ'
'corsica'	'コルシカ'
'cortes'	'コルテス'
'cosmetic'	'コスメチック'
'cosmo'	'コスモ'
'cosmopolitan'	'コスモポリタン'
'cosmos'	'コスモス'
'cossack'	'コサック'
'cotton'	'カタン'
'coup d''etat'	'クーデター'
'cover'	'カバー,カヴァー'
'cream'	'クリーム,クリイム'
'creosote'	'クレオソート,ケレオソート'
'creta'	'クレタ'
'crimea'	'クリミヤ,クリミア'
'crisis'	'クライシス'
'cromwell'	'クロムウェル,クロムウエル,コロンウェル'
'croup'	'クルップ'
'crow'	'クロウ'
'crusoe'	'クルーソー'
'cub'	'カブ'
'cue'	'キュー'
'cuff'	'カフス,カフ'
'cult'	'カルト'
'cupid'	'キューピッド'
'curacao'	'キユラソオ'
'curl'	'カール'
'curry'	'カレー'
'curve'	'カーブ'
'cushion'	'クッション'
'cut'	'カツト'
'cutlet'	'カツ,カツレツ'
'cutter'	'カツター'
'cyan'	'シヤン'
'cynical'	'シニカル'
'cyprus'	'キプロス'
'da/de'	'ダ'
'dahlia'	'ダリヤ,ダーリア,ダアリア'
'daimon'	'ダイモン'
'dam'	'ダム'
'damask'	'ダマスク'
'dan'	'ダン'
'dance'	'ダンス'
'dancing'	'ダンシング'
'dane'	'デーン'
'danube'	'ダニューブ'
'dark'	'ダーク'
'darlington'	'ダーリントン'
'darth'	'ダース'
'darwin'	'ダーウィン,ダーヰン,ダルウヰン,ダルヰン'
'darwinism'	'ダルウヰニズム'
'deaf'	'デフ'
'deca'	'デカ'
'decadant'	'デカダン,デカタン'
'decadence'	'デカダンス'
'decae'	'ドカ'
'dee'	'ディー'
'delhi'	'デリー'
'delicacy'	'デリカシー'
'demagog'	'デマゴーグ'
'demi'	'ドミ'
'demo'	'デモ'
'democracy'	'デモクラシー'
'democratic'	'デモクラチツク,デモクラシック'
'denomination'	'デノミネーション'
'descartes'	'デカルト'
'desert'	'デザート'
'desk'	'デスク'
'dessin'	'デッサン'
'deutschen'	'ドイ'
'diagram'	'ダイヤ'
'diamond'	'ダイヤモンド,ダイアモンド,ギヤマン'
'diene'	'ジエン'
'dilemma'	'ディレンマ,ジレンマ'
'dilettante'	'ディレッタント,ジレッタント'
'dimension'	'ダイメンシヨン'
'dionysius'	'ディオニシウス'
'diphtheria'	'ジフテリア'
'distoma'	'ヂストマ'
'dobrolyubov'	'ドブロリューボフ'
'dock'	'ドック'
'doctor'	'ドクトル'
'doeff'	'ヅーフ'
'doek'	'ズック,ズツク'
'dominica'	'ドミニカ'
'donna'	'ドンナ'
'door'	'ドア'
'dostoevskii'	'ドストイェフスキー,ドストエフスキー'
'double'	'ダブル'
'dough'	'ドウ'
'doula'	'ドーラ'
'dow'	'ダウ'
'doyle'	'ドイル'
'dozen'	'ダース'
'draco'	'ドラコ'
'draft'	'ドラ'
'dram'	'ダラム'
'drama'	'ドラマ'
'dramatical'	'ドラマチカル'
'dramatist'	'ドラマチスト'
'dreadnought'	'ドレッドノート'
'dreamer'	'ドリーマー'
'dresden'	'ドレスデン'
'dressing'	'ドレッシング'
'droschke'	'ドロシュケ'
'drum'	'ドラム'
'duke'	'デューク'
'dull'	'ダル'
'dumdum'	'ダムダム'
'durer'	'ドュウレル'
'durian'	'ドリアン'
'dyck'	'ダイク'
'dynamite'	'ダイナマイト'
'dynamo'	'ダイナモ'
'ear'	'イヤ'
'earl'	'アアル'
'east'	'イースト'
'easter'	'イースター'
'easy'	'イージー'
'easygoing'	'イージーゴーイング'
'ebonite'	'エボナイト'
'eccentric'	'エクセントリック'
'economy'	'エコノミー'
'eden'	'エデン,ヱデン'
'edinburgh'	'エディンバラ,エジンバラ'
'edison'	'エジソン'
'edmond'	'エドモンド'
'edward'	'エドワード,エドワルド'
'egalite'	'エガリテ'
'egg'	'エッグス'
'egoist'	'エゴイスト'
'egoistic'	'エゴイスチック'
'el'	'エル'
'elbe'	'エルベ'
'elea'	'エレア'
'electron'	'エレクトロン'
'element'	'エレメント'
'eleonora'	'エレオノラ'
'elevator'	'エレヴェーター'
'elizabeth'	'エリザベス'
'ellis'	'エリス'
'elm'	'エルム'
'elocution'	'エロキューション'
'emerald'	'エメラルド'
'encyclopaedia'	'エンサイクロペヂア'
'energy'	'エナージー,エネルギー'
'engage'	'エンゲージ'
'engine'	'エンジン'
'ennui'	'アンニュイ'
'enya'	'エンヤ'
'epaulette'	'エポレット'
'epicurean'	'エピキュリアン'
'epiktetos'	'エピクテタス'
'epoch'	'エポック'
'erotic'	'エロチック'
'escape'	'エスケープ'
'eskimo'	'エスキモー,エスキモ'
'esperanto'	'エスペラント'
'esquisse'	'エスキス'
'etching'	'エッチング'
'ether'	'エーテル'
'etna'	'エトナ'
'eucalyptus'	'ユーカリ'
'euripides'	'オイリピデス'
'euston'	'ユーストン'
'exlibris'	'エツキスリプリス'
'extract'	'エキス'
'eze'	'エズ'
'fact'	'ファクト'
'family'	'ファミリー'
'farrow'	'ファロー'
'faust'	'ファウスト,フアウスト'
'feather'	'フェザー'
'fechner'	'フェヒナー'
'fell'	'フェル'
'felt'	'フエルト'
'feminine'	'フェミニン'
'fetch'	'フェッチ'
'fichte'	'フィヒテ,フィフテ'
'fielding'	'フィールディング'
'file'	'ファイル'
'filled'	'フィルド'
'film'	'フィルム'
'fin'	'フィン'
'fin de siecle'	'フアンドシエクル'
'finn'	'フィン'
'firenze'	'フィレンチェ'
'fisk'	'フィスク'
'fit'	'フィッツ'
'flail'	'フレール'
'flan'	'フラン'
'flandre'	'フランドル'
'flannel'	'フランネル,ネル'
'flavell'	'フレーベル'
'flora'	'フロラ'
'florence'	'フロレンス'
'flow'	'フロ'
'fluke'	'フロック'
'flute'	'フルウト'
'fly'	'フライ'
'foil'	'ホイル'
'folio'	'フォリオ'
'folklore'	'フォクロア'
'foot'	'フット'
'football'	'フートボール'
'force'	'フォース'
'formalin'	'フォルマリン'
'formula'	'フォーミュラー'
'foster'	'フオスター,フォスター'
'franc'	'フラン'
'francisco'	'フランシスコ'
'frank'	'フランク'
'franken'	'フランケン'
'frankfurt am main'	'フランクフルト'
'franklin'	'フランクリン'
'franz'	'フランツ'
'franziska'	'フランチェスカ'
'frasco'	'フラスコ'
'frau'	'フラウ'
'fraulein'	'フロイライン'
'frederick'	'フレデリック,フレデリツク'
'freiburg'	'フライブルグ'
'freytag'	'フライタハ'
'friday'	'フライデー'
'friedland'	'フリードランド'
'friedrich'	'フリードリッヒ'
'frock'	'フロツク'
'frye'	'フライ'
'fugo'	'フーゴー'
'full'	'フル'
'function'	'ファンクション'
'fur'	'ファー'
'gaia'	'ガイア'
'gaius'	'ガイウス'
'gal'	'ギャル,ガル'
'gala'	'ガラ'
'galatia'	'ガラテヤ'
'galilei'	'ガリレイ'
'galileo'	'ガリレオ'
'gall'	'ガル'
'galle'	'ガレ'
'galley'	'ゲラ'
