'unter den linden'	'ウンテル・デン・リンデン'
'galton'	'ゴルトン'
'game'	'ゲー,ゲーム'
'ganges'	'ガンジス'
'gasoline'	'ガソリン'
'gasse'	'ガッセ'
'gate'	'ゲート'
'gath'	'ガト'
'gaze'	'ガーゼ'
'gel'	'ゲル'
'gene'	'ジーン'
'general'	'ゼネラル'
'genova'	'ジェノア,ゼノア'
'gentleman'	'ゼントルメン'
'ghali'	'ガリ'
'gibbon'	'ギボン'
'gibraltar'	'ジブラルタル'
'gil'	'ギル'
'gilbert'	'ギルバート'
'gillie'	'ギリー'
'gini'	'ジニ'
'giotto'	'ジョット'
'glasgow'	'グラスゴー'
'glass'	'グラス'
'glee'	'グリー'
'glow'	'グロー'
'glut'	'グラット'
'gnu'	'ヌー'
'goal'	'ゴール'
'gobi'	'ゴビ'
'god'	'ゴッド'
'gogol'	'ゴーゴリ'
'gold'	'ゴールド'
'goldsmith'	'ゴールドスミス'
'golf'	'ゴルフ'
'golgotha'	'ゴルゴタ'
'goncourt'	'ゴンクウル'
'gondola'	'ゴンドラ'
'gordon'	'ゴードン'
'gorilla'	'ゴリラ'
'gorky'	'ゴルキー'
'gothic'	'ゴチック,ゴシック'
'gottfried'	'ゴットフリート'
'gottingen'	'ゲッチンゲン'
'gounod'	'グノー'
'gourde'	'グールド'
'gown'	'ガウン'
'graham'	'グラハム'
'gram'	'グラム'
'granada'	'グラナダ'
'grant'	'グラント'
'graphic'	'グラフィック'
'grease'	'グリース'
'great'	'グレイト,グレート'
'green'	'グリン'
'greenland'	'グリーンランド'
'greuze'	'グルーズ'
'grey'	'グレー,グレイ'
'gris'	'グリ'
'ground'	'グラウンド,グランド'
'grounder'	'ゴロ'
'group'	'グループ,グルッペ'
'guattari'	'ガタリ'
'guide'	'ガイド'
'guimet'	'ギメ'
'guiro'	'ギロ'
'guizot'	'ギゾー'
'gun'	'ガン'
'gurkha'	'ゴルカ'
'guru'	'グル'
'gustav'	'グスタアフ'
'guy'	'ギイ'
'gypsy'	'ジプシー'
'hack'	'ハック'
'haeckel'	'ヘッケル'
'haim'	'ハイム'
'halle'	'ハレ'
'hallelujah'	'ハレルヤ'
'halley'	'ハレー'
'halt'	'ハルト'
'hamburg'	'ハンブルグ'
'hammock'	'ハンモック'
'hampden'	'ハンプデン'
'han'	'ハン'
'handel'	'ヘンデル'
'handicap'	'ハンデキャップ'
'handle'	'ハンドル'
'hannibal'	'ハンニバル'
'harmonia'	'ハルモニア'
'harmonica'	'ハーモニカ,ハモニカ'
'harmony'	'ハーモニー'
'harris'	'ハリス'
'harrison'	'ハリソン'
'harte'	'ハート'
'harvard'	'ハーバード'
'harvey'	'ハーベー'
'hat'	'ハット,ハツト'
'hatta'	'ハッタ'
'hauptmann'	'ハウプトマン'
'hawthorne'	'ホーソーン'
'heavy'	'ヘビー'
'hebraism'	'ヘブライズム'
'hector'	'ヘクター'
'hedin'	'ヘディン'
'hedonism'	'ヘドニズム'
'hegel'	'ヘーゲル'
'heine'	'ハイネ'
'helene'	'ヘレーネ'
'heliotrope'	'ヘリオトロオブ,ヘリオトロープ'
'helium'	'ヘリウム'
'hell'	'ヘル'
'hellenism'	'ヘレニズム'
'hello'	'ハロ'
'helmet'	'ヘルメット'
'help'	'ヘルプ'
'hepburn'	'ヘボン'
'hera'	'ヘラ'
'herakles'	'ヘラクレス,ヘルクレス,ハーキュリス'
'herbart'	'ヘルバルト'
'herbert'	'ヘルベルト'
'hermann'	'ヘルマン'
'hermes'	'ヘルメス'
'hesiodos'	'ヘシオドス'
'hey'	'ヘイ'
'hi'	'ハイ'
'him'	'ヒム'
'himalaya'	'ヒマラヤ'
'hint'	'ヒント'
'hobbes'	'ホッブス'
'hobson'	'ホブソン'
'hoffmann'	'ホフマン'
'holi'	'ホリー,ホーリー'
'holstein'	'ホルスタイン'
'homer'	'ホーマー'
'homeros'	'ホメロス,ホメーロス'
'honu'	'ホヌ'
'hood'	'フッド'
'hoos'	'ホース'
'horizon'	'ホライズン'
'hoss'	'ホス'
'hot'	'ホット,ホツト'
'hotel'	'ホテル'
'hound'	'ハウンド'
'house'	'ホイス'
'huey'	'ヒューイ'
'huguenot'	'ユグノー'
'humanity'	'ヒユーマニチー,ヒューマニチー'
'humboldt'	'フムボルト'
'hume'	'ヒューム'
'humor'	'ユーモア'
'humorist'	'ユーモリスト'
'hundred'	'ハンドレッド'
'hungarian'	'ハンガリア'
'hunt'	'ハント'
'hurrah'	'フラー'
'husband'	'ハズバンド'
'hyacinth'	'ヒヤシンス,ヒアシンス'
'hyde'	'ハイド'
'hysteric'	'ヒステリック'
'hysterical'	'ヒステリカル'
'hysterie'	'ヒステリー,ヒステリイ'
'iceland'	'アイスランド'
'ideal'	'アイデアル'
'idealism'	'アイデアリズム'
'idealist'	'アイデアリスト'
'iesous'	'イエス,イヱス'
'ikra'	'イクラ'
'illich'	'イリイッチ'
'illinois'	'イリノイ'
'illumination'	'イルミネーション'
'image'	'イメージ'
'income'	'インカム'
'individual'	'インジヴィジュエル'
'indus'	'インダス'
'influenza'	'インフルエンザ'
'initial'	'イニシャル'
'inkstand'	'インクスタンド'
'innocent'	'イノセント'
'inspiration'	'インスピレーシヨン,インスピレーション'
'iodate'	'ヨテェート'
'ion'	'イオン'
'iran'	'イラン'
'iris'	'アイリス,イリス'
'ironical'	'アイロニカル'
'irving'	'アービング'
'isaac'	'アイザック'
'isaiah'	'イザヤ'
'ism'	'イズム'
'iso'	'イソ'
'israel'	'イスラエル,イスラヱル'
'italian'	'イタリアン'
'ivan'	'イヴァン,イバン'
'ives'	'アイヴス'
'ja'	'ヤー'
'jack'	'ジャック'
'jacket'	'ジャケツ,ジャケット'
'jackson'	'ジャクソン'
'jai'	'ジャイ'
'jakob'	'ヤコブ,ヤコフ'
'jam'	'ジャム'
'jamaica'	'ジャマイカ'
'jambo'	'ジャンボ'
'james'	'ジェームス,ゼームス'
'jan'	'ヤン'
'janes'	'ジェーン'
'japan'	'ジャパン'
'jaque'	'チヨツキ'
'jay'	'ゼー'
'jehovah'	'エホバ,ヱホバ'
'jena'	'イェーナ'
'jerry'	'ジェリー,ジェリ'
'jew'	'ジュー'
'jib'	'ジブ'
'jig'	'ジグ'
'job'	'ヨブ'
'johannes'	'ヨハンネス'
'johnson'	'ジヨンソン'
'jolo'	'ホロ'
'jones'	'ジョーンス'
'jordan'	'ジョルダン'
'josef'	'ヨゼフ'
'joseph'	'ジョセフ,ジョゼフ'
'jour'	'ジュール'
'judas'	'ユダ'
'julius'	'ユリウス'
'junction'	'ジャンクション'
'jupiter'	'ジュピター'
'jus'	'ユス'
'justify'	'ジャスティファイ'
'kabul'	'カブール'
'kafka'	'カフカ'
'kaiser'	'カイゼル'
'kaiserhof'	'カイゼルホオフ'
'kalidasa'	'カーリダーサ'
'kamchatka'	'カムチャツカ'
'kamfer'	'カンフル'
'kamin'	'カミン'
'kandelaar'	'カンテラ'
'karl'	'カルル'
'karma'	'カルマ'
'kashmir'	'カシミール'
'kassapa'	'カッサパ'
'kate'	'ケート'
'katmandu'	'カトマンズ'
'kay'	'ケー,ケイ'
'kazan'	'カザン'
'keats'	'キーツ'
'kelly'	'ケリー'
'kelvin'	'ケルヴィン'
'keno'	'キノ'
'kew'	'キュー'
'key'	'キイ,キー'
'khaki'	'カーキー,カキ,カーキ'
'khan'	'カーン,カン,ハン'
'khronos'	'クロノス'
'kidd'	'キッド'
'kierkegaard'	'キェルケゴール'
'kill'	'キル'
'kiln'	'キルン'
'kilo'	'キロ'
'kilogramme'	'キログラム'
'kilometre'	'キロメートル'
'kilt'	'キルト'
'kinema'	'キネマ'
'kinine'	'キニーネ'
'kiosk'	'キオスク'
'kiss'	'キス,キッス'
'kit'	'キット'
'klein'	'クライン'
'kleopatra'	'クレオパトラ'
'knee'	'ニー'
'knigge'	'クニッゲ'
'knight'	'ナイト'
'knock'	'ノック'
'know'	'ノウ'
'koch'	'コツホ,コッホ'
'koeber'	'ケーベル'
'koenig'	'キョオニヒ'
'koln'	'ケルン'
'kolportage'	'コルポルタアジュ'
'kompas'	'コンパス'
'konigsberg'	'ケーニヒスベルク'
'koran'	'コーラン'
'korn'	'コルン'
'koso'	'コソ'
'kra'	'クラ'
'kraan'	'カラン'
'kreuger'	'クルーゲル'
'kuhn'	'クーン'
'kummel'	'キユムメル'
'kurk'	'コルク'
'kuropatkin'	'クロパトキン'
'kursus'	'クルズス'
'laboratory'	'レボレトリー'
'lace'	'レース,レエス'
'lafcadio'	'ラフカディオ'
'lag'	'ラグ'
'lahore'	'ラホール'
'lake'	'レーク'
'lancaster'	'ランカスター'
'lancelot'	'ランスロット'
'langue'	'ラング'
'lanka'	'ランカ'
'las'	'ラス'
'lassen'	'ラッセン'
'late'	'レート'
'lath'	'ラス'
'laud'	'ロオド'
'lava'	'ラバ'
'law'	'ロー,ロウ'
'lawn'	'ローン'
'lawrence'	'ローレンス'
'leaf'	'リーフ'
'leather'	'レザー'
'lebanon'	'レバノン'
'lebemann'	'レエベマン'
'lecture'	'レクチュア'
'leda'	'レダ'
'lee'	'リイ,リー'
'leeds'	'リーズ'
'leg'	'レッグ'
'leghorn'	'レグホン'
'legion'	'レジョン'
'lehmann'	'レーマン'
'leibniz'	'ライプニッツ,ライプニツ'
'leiden'	'ライデン'
'leman'	'レマン'
'lemonade'	'ラムネ'
'leni'	'レニ'
'lens'	'レンズ'
'leo'	'レヲ,レオ'
'leonard'	'レオナルド'
'leoni'	'レオニ'
'lesseps'	'レセップス'
'lessing'	'レッシング,レツシング'
'leto'	'レト'
'lexington'	'レキシントン'
'lhasa'	'ラサ'
'lia'	'リア'
'liberal'	'リベラル,リベラール'
'liberalism'	'リベラリズム'
'liberte'	'リベルテー'
'licken'	'リキン'
'lie(横たわる)'	'ライ'
'lighter'	'ライター'
'lightning'	'ライトニング'
'like'	'ライク'
'lilas'	'リラ'
'lima'	'リマ'
'lincoln'	'リンコルン'
'linen'	'リンネル'
'link'	'リンクス'
'linker'	'リンカ'
'linotype'	'ライノタイプ'
'lisbon'	'リスボン'
'liverpool'	'リバプール'
'loam'	'ローム'
'lob'	'ロブ'
'loci'	'ロキ'
'logan'	'ロガン'
'logue'	'ローグ'
'lollard'	'ロラード'
'lombard'	'ロンバード'
'longfellow'	'ロングフェロー'
'loose'	'ルーズ,ルース'
'lord'	'ロード'
'lorelei'	'ローレライ,ロオレライ'
'lorenzo'	'ロレンツォ,ロレンゾ'
'lorient'	'ロリアン'
'loss'	'ロス'
'lowe'	'ロー,ロウ'
'lucerne'	'ルーサン'
'ludwig'	'ルウドヰヒ'
'lumiere'	'リュミエール'
'luna'	'ルナ'
'lunge'	'ランジ'
'lusitania'	'ルシタニア'
'lynn'	'リン'
'lyrical'	'リリカル'
'lytton'	'リットン'
'maca'	'マカ'
'macaulay'	'マコレー'
'macbeth'	'マクベス'
'madam'	'マダム'
'madonna'	'マドンナ'
'madras'	'マドラス'
'madrid'	'マドリード'
'magellan'	'マゼラン'
'magnesia'	'マグネシヤ'
'magnesium'	'マグネシウム'
'mahan'	'マハン'
'mail'	'メール'
'majolica'	'マジョリカ'
'maker'	'メーカー'
'making'	'メーキング'
'makrokosmos'	'マクロコスモス'
'malaria'	'マラリヤ'
'malay'	'マレイ,マレー'
'mali'	'マリ'
'mallarme'	'マラルメ'
'malraux'	'マルロー'
'malta'	'マルタ'
'malte'	'マルテ'
'malthus'	'マルサス'
'mammoth'	'マンモス'
'manager'	'マネジャー'
'manchester'	'マンチェスター'
'mandolin'	'マンドリン'
'manfred'	'マンフレツド'
'mania'	'マニヤ,マニア'
'manly'	'マンリー'
'manteau'	'マント'
'mantelpiece'	'マントルピース'
'manuscript'	'マニュスクリプト'
'mao'	'マオ'
'march'	'マーチ'
'marco'	'マルコ'
'maree'	'マレ'
'marguerite'	'マーガレット'
'maria'	'マリヤ,マリア'
'marley'	'マーリー'
'marriage'	'マリッジ'
'marseillaise'	'マルセイエーズ'
'marseille'	'マルセーユ,マルセール,マルセイユ'
'martin'	'マルチン'
'marx'	'マルクス'
'maryland'	'メリーランド'
'mask'	'マスク'
'mass'	'マス,マッス'
'massachusetts'	'マサチューセッツ'
'mast'	'マスト'
'match'	'マッチ'
'maththaios'	'マタイ'
'matroos'	'マドロス'
'matthew'	'マシユー'
'maui'	'マウイ'
'maury'	'モーリー'
'maxim'	'マキシム'
'maximum'	'マキシマム'
'maxwell'	'マクスウェル'
'mayer'	'マイヤー'
'mcdonnell'	'マクドネル'
'mcgee'	'マッギー'
'mckinley'	'マッキンレー'
'mecca'	'メッカ'
'media'	'メデア'
'mega'	'メガ'
'megara'	'メガラ'
'mel'	'メル'
'melancholy'	'メランコリア,メランコリー'
'melbourne'	'メルボルン'
'melodious'	'メロディアス'
'melody'	'メロディ,メロデイ'
'melon'	'メロン'
'melos'	'メロス'
'melton'	'メルトン'
'member'	'メンバ'
'memo'	'メモ'
'memphis'	'メンフィス'
'menes'	'メネス'
'meno'	'メノ'
'mental '	'メンタル'
'mephisto'	'メフィスト'
'merimee'	'メリメ'
'merinos'	'メレンス,メリンス'
'mermaid'	'マーメイド'
'merry'	'メリー'
'mes'	'メス'
'meso'	'メソ'
'mesopotamia'	'メソポタミア'
'messina'	'メッシナ'
'meta'	'メタ'
'metal'	'メタル'
'metropolitan'	'メトロポリタン'
'metternich'	'メツテルニヒ'
'mho'	'モー'
'michael'	'マイケル'
'michigan'	'ミシガン'
'micro'	'ミクロ'
'midas'	'ミダス'
'middle'	'ミッヅル,ミツドル'
'milano'	'ミラノ'
'militarism'	'ミリタリズム'
'milk'	'ミルク'
'mill'	'ミル'
'millet'	'ミレー'
'milli'	'ミリ'
'milne'	'ミルン'
'minerva'	'ミネルワ'
'mini'	'ミニ'
'minimum'	'ミニマム'
'minnesota'	'ミネソタ'
'minus'	'マイナス'
'mio'	'ミオ'
'miserable'	'ミゼラブル'
'missa'	'ミサ'
'mississippi'	'ミシシッピー'
'mistake'	'ミス'
'mister'	'ミスター,ミストル'
'mittelstand'	'ミッテルスタンド'
'mock'	'モック'
'model'	'モデル'
'modern'	'モダーン'
'mogol'	'モル'
'mol'	'モル'
'mola'	'モラ'
'mollis'	'モリス'
'moltke'	'モルトケ'
'monday'	'マンデー'
'money'	'マネ,モニー,マネー'
'mongolia'	'モンゴリア'
'mono'	'モノ'
'monochrome'	'モノクロ'
'monotonous'	'モノトナス'
'monroe'	'モンロー'
'mons'	'モン'
'mont'	'モン'
'montaigne'	'モンテーニュ'
'montana'	'モンタナ'
'montenegro'	'モンテネグロ'
'monument'	'モヌメント'
'mood'	'ムード'
'moor'	'モール'
'moore'	'ムウア'
'mora'	'モーラ'
'moreau'	'モロー'
'morfine'	'モルヒネ'
'morgan'	'モルガン'
'morgue'	'モルグ'
'morin'	'モラン'
'morning'	'モーニング,モオニング'
'morocco'	'モロッコ'
'morris'	'モリス'
'morrison'	'モリソン'
'morro'	'モロ'
'morse'	'モーズ,モールス'
'mosel'	'モーゼル'
'moskva'	'モスコウ,モスコー'
'motor'	'モーター,モートル,モータ'
'mount'	'マウント'
'mozart'	'モツアルト'
'ms'	'ミズ'
'muhammad'	'マホメット,マホメッド,モハメッド,マホメツト'
'mulato'	'ムラート'
'muller'	'ミュラー,ミユラー'
'mullion'	'マリオン'
'munchen'	'ミユンヘン,ミュンヘン'
'mundo'	'ムンド'
'murray'	'マレー'
'muse'	'ミューズ'
'muslin'	'モスリン'
'musset'	'ミュッセ'
'mutter'	'ムッター'
'mysterious'	'ミステリアス'
'mystery'	'ミステリー,ミステリ'
'mythos'	'ミュトス'
'nachtigall'	'ナハチガル'
'nadar'	'ナタール'
'naive'	'ナイーヴ,ナイーブ'
'nakuru'	'ナクル'
'naled'	'ナレド'
'name'	'ネーム'
'napkin'	'ナプキン'
'nash'	'ナツシユ'
'natal'	'ナタール'
'nation'	'ネーション'
'national'	'ナショナル'
'nationality'	'ナショナリテー'
'natural'	'ナチュラル'
'nazareth'	'ナザレ'
'necktie'	'ネクタイ'
'negative'	'ネガチブ'
'negrito'	'ネグリト'
'neill'	'ニール'
'nelson'	'ネルソン'
'nemea'	'ネメア'
'neo'	'ネオ'
'nepal'	'ネパール,ニポール'
'nerchinsk'	'ネルチンスク'
'nerd'	'ナード'
'ness'	'ネス'
'nest'	'ネスト'
'net'	'ネット,ネツト'
'neto'	'ネット'
'neushwanstein'	'ノイシュワンスタイン'
'neva'	'ネバ'
'new zealand'	'ニュージーランド,ニウジーランド,ニユージーランド'
'newcastle'	'ニューカッスル'
'news'	'ニュース'
'newton'	'ニュートン,ニウトン,ニユートン'
'niagara'	'ナイヤガラ,ナイアガラ'
'nice'	'ナイス'
'nicholson'	'ニコルソン'
'nick'	'ニック'
'nickel'	'ニッケル'
'nicotine'	'ニコチン'
'nihilism'	'ニヒリズム'
'nihilist'	'ニヒリスト'
'nikolai'	'ニコライ'
'nile'	'ナイル'
'nize'	'ナイズ'
